Planet,Mass (kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU),Orbital Period (yr),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Orbital Period (yr)
Mercury,0.33,8.691139037507474e-79,5429,3.7,4.3,1407.6,4222.6,0.387037594379343,1.2258268317803487e-60 km2,1.8600589751797458e-60 km2,1.5429429034800467e-60 km2,88.0,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes,0.24093086926762491
Venus,4.87,2.1561292664478465e-78,5243,8.9,10.4,-5832.5,2802.0,0.7232723266294458,2.864704009051901e-60 km2,2.9020117821930416e-60 km2,2.883357895622472e-60 km2,224.7,35.0,3.4,0.007,177.4,464,92.0,0,No,No,0.6151950718685831
Earth,5.97,2.27227238291546e-78,5514,9.8,11.2,23.9,24.0,1.0000142334913595,3.919981020758462e-60 km2,4.053223067691109e-60 km2,3.986602044224785e-60 km2,365.2,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes,0.9998631074606433
Moon,0.073,6.190143093941066e-79,3340,1.6,2.4,655.7,708.7,0.002566881454951083,9.673372607310142e-63 km2,1.0819254210930897e-62 km2,1.0246313409120522e-62 km2,27.3,1.0,5.1,0.055,6.7,-20,0.0,0,No,No,0.07474332648870637
Mars,0.642,1.2098835077423804e-78,3934,3.7,5.0,24.6,24.7,1.5240858638772057,5.508226220195608e-60 km2,6.643448460061759e-60 km2,6.075837340128684e-60 km2,687.0,24.1,1.8,0.094,25.2,-65,0.01,2,No,No,1.8809034907597535
Jupiter,1898.0,2.547025669479337e-77,1326,23.1,59.5,9.9,9.9,5.2039510746859845,1.973581199166361e-59 km2,2.1755761423162536e-59 km2,2.0745786707413073e-59 km2,4331.0,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes,11.85763175906913
Saturn,568.0,2.1471513322914545e-77,687,9.0,35.5,10.7,10.7,9.572328759088414,3.61778805831522e-59 km2,4.0145828740806415e-59 km2,3.8161854661979296e-59 km2,10747.0,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes,29.423682409308693
Uranus,86.8,9.10583409139797e-78,1270,8.7,21.3,-17.2,17.2,19.164711279543635,7.282210833056865e-59 km2,7.998253593272908e-59 km2,7.640232213164886e-59 km2,30589.0,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes,83.74811772758385
Neptune,102.0,8.822601644797501e-78,1638,11.0,23.5,16.1,16.1,30.180910857042033,1.191477032081112e-58 km2,1.214874335522485e-58 km2,1.2031756838017987e-58 km2,59800.0,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes,163.72347707049965
Pluto,0.013,4.232454673727763e-79,1850,0.7,1.3,-153.3,153.3,39.48184537896635,1.1823366276615327e-58 km2,1.9655600279410156e-58 km2,1.5739483278012741e-58 km2,90560.0,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,247.93976728268308
